timestamp_utc,station_id,vehicle_id,vehicle_present,station_status,machine_state,cycle_time,utilization,vibration,temperature,torque,pressure
2026-08-26 04:00:00+00:00,S01,VH00001,True,RUNNING,ACTIVE,60.014,0.872,1.2116,48.927,105.659,6.0232
2026-08-26 04:00:00+00:00,S02,VH00001,True,RUNNING,ACTIVE,56.763,0.8802,1.2057,49.565,105.169,5.9702
2026-08-26 04:00:00+00:00,S03,VH00001,True,RUNNING,ACTIVE,59.124,0.8311,1.2083,50.152,105.286,6.033
2026-08-26 04:00:00+00:00,S04,VH00001,True,RUNNING,ACTIVE,56.382,0.7671,1.2358,50.46,105.622,5.9664
2026-08-26 04:00:00+00:00,S05,VH00001,True,RUNNING,ACTIVE,55.672,0.7615,1.2288,51.556,104.925,5.975
2026-08-26 04:00:00+00:00,S06,VH00001,True,RUNNING,ACTIVE,60.358,0.817,1.2466,52.251,105.638,6.025
2026-08-26 04:00:00+00:00,S07,VH00001,True,RUNNING,ACTIVE,59.037,0.8602,1.2724,52.858,106.001,5.9538
2026-08-26 04:00:00+00:00,S08,VH00001,True,RUNNING,ACTIVE,58.461,0.8662,1.2651,53.403,104.89,5.9719
2026-08-26 04:00:00+00:00,S09,VH00001,True,RUNNING,ACTIVE,56.103,0.8123,1.2705,54.178,106.606,6.0354
2026-08-26 04:00:00+00:00,S10,VH00001,True,RUNNING,ACTIVE,54.428,0.8137,1.2677,54.74,105.266,6.0519
2026-08-26 04:00:00+00:00,S11,VH00001,True,RUNNING,ACTIVE,56.435,0.7556,1.2654,55.622,104.371,6.0088
2026-08-26 04:00:00+00:00,S12,,False,RUNNING,ACTIVE,59.06,0.8087,1.2756,56.615,104.108,6.0257
2026-08-26 04:00:54+00:00,S01,VH00002,True,RUNNING,ACTIVE,58.543,0.8856,1.2187,48.978,104.406,6.0382
2026-08-26 04:00:54+00:00,S02,VH00002,True,RUNNING,ACTIVE,58.612,0.8509,1.2591,49.633,107.298,6.0539
2026-08-26 04:00:54+00:00,S03,VH00002,True,RUNNING,ACTIVE,58.549,0.7994,1.2446,50.268,106.565,6.0789
2026-08-26 04:00:54+00:00,S04,VH00002,True,RUNNING,ACTIVE,55.954,0.7531,1.2193,50.563,107.18,6.0331
2026-08-26 04:00:54+00:00,S05,VH00002,True,RUNNING,ACTIVE,54.059,0.7619,1.231,51.928,105.229,6.1308
2026-08-26 04:00:54+00:00,S06,VH00002,True,RUNNING,ACTIVE,59.929,0.8385,1.2407,52.47,104.728,6.0203
2026-08-26 04:00:54+00:00,S07,VH00002,True,RUNNING,ACTIVE,59.448,0.8885,1.2643,53.275,105.974,6.0649
2026-08-26 04:00:54+00:00,S08,VH00002,True,RUNNING,ACTIVE,58.985,0.9279,1.2621,53.745,104.823,6.1194
2026-08-26 04:00:54+00:00,S09,VH00002,True,RUNNING,ACTIVE,56.677,0.8612,1.2814,54.809,104.873,6.1264
2026-08-26 04:00:54+00:00,S10,VH00002,True,RUNNING,ACTIVE,55.61,0.7908,1.2731,54.9,104.418,6.0211
2026-08-26 04:00:54+00:00,S11,VH00002,True,RUNNING,ACTIVE,55.523,0.7873,1.2919,55.707,106.056,6.0547
2026-08-26 04:00:54+00:00,S12,VH00002,True,RUNNING,ACTIVE,58.773,0.8061,1.2921,56.526,106.255,6.0495
2026-08-26 04:01:48+00:00,S01,VH00003,True,RUNNING,ACTIVE,59.227,0.8856,1.2389,49.16,105.968,6.0644
2026-08-26 04:01:48+00:00,S02,VH00003,True,RUNNING,ACTIVE,56.514,0.9038,1.2547,49.693,106.655,6.1753
2026-08-26 04:01:48+00:00,S03,VH00003,True,RUNNING,ACTIVE,58.263,0.8176,1.2677,50.468,104.772,6.118
2026-08-26 04:01:48+00:00,S04,VH00003,True,RUNNING,ACTIVE,56.179,0.7823,1.2665,51.142,105.283,6.0829
2026-08-26 04:01:48+00:00,S05,,False,RUNNING,ACTIVE,53.691,0.7414,1.2859,52.181,105.469,6.1477
2026-08-26 04:01:48+00:00,S06,VH00003,True,RUNNING,ACTIVE,59.45,0.809,1.2907,52.56,104.958,6.1389
2026-08-26 04:01:48+00:00,S07,VH00003,True,RUNNING,ACTIVE,58.904,0.8743,1.2839,53.274,106.977,6.1685
2026-08-26 04:01:48+00:00,S08,VH00003,True,RUNNING,ACTIVE,59.756,0.8664,1.3154,54.041,106.747,6.0963
2026-08-26 04:01:48+00:00,S09,VH00003,True,RUNNING,ACTIVE,55.533,0.8327,1.3081,54.806,106.157,6.1456
2026-08-26 04:01:48+00:00,S10,VH00003,True,RUNNING,ACTIVE,55.841,0.7451,1.3029,55.287,106.018,6.1586
2026-08-26 04:01:48+00:00,S11,VH00003,True,RUNNING,ACTIVE,53.48,0.7864,1.3126,56.204,105.34,6.1499
2026-08-26 04:01:48+00:00,S12,VH00003,True,RUNNING,ACTIVE,57.43,0.8312,1.303,56.594,105.976,6.2004
2026-08-26 04:02:42+00:00,S01,VH00004,True,RUNNING,ACTIVE,58.425,0.88,1.2551,49.188,106.653,6.1041
2026-08-26 04:02:42+00:00,S02,VH00004,True,RUNNING,ACTIVE,57.807,0.8301,1.2402,49.99,106.576,6.1669
2026-08-26 04:02:42+00:00,S03,VH00004,True,RUNNING,ACTIVE,57.482,0.7819,1.2792,50.592,105.905,6.1093
2026-08-26 04:02:42+00:00,S04,VH00004,True,RUNNING,ACTIVE,57.854,0.7364,1.2671,51.414,107.915,6.1732
2026-08-26 04:02:42+00:00,S05,VH00004,True,RUNNING,ACTIVE,55.068,0.7645,1.2506,51.866,106.42,6.1342
2026-08-26 04:02:42+00:00,S06,VH00004,True,RUNNING,ACTIVE,60.868,0.8065,1.2629,53.194,106.559,6.1187
2026-08-26 04:02:42+00:00,S07,VH00004,True,RUNNING,ACTIVE,59.576,0.8894,1.2976,53.149,106.419,6.1368
2026-08-26 04:02:42+00:00,S08,VH00004,True,RUNNING,ACTIVE,57.273,0.8696,1.3153,53.834,107.017,6.2134
2026-08-26 04:02:42+00:00,S09,VH00004,True,RUNNING,ACTIVE,55.049,0.8069,1.2908,54.857,105.474,6.1482
2026-08-26 04:02:42+00:00,S10,VH00004,True,RUNNING,ACTIVE,54.724,0.7857,1.2774,55.874,104.555,6.1841
2026-08-26 04:02:42+00:00,S11,VH00004,True,RUNNING,ACTIVE,54.61,0.7656,1.2967,56.02,107.034,6.0986
2026-08-26 04:02:42+00:00,S12,VH00004,True,RUNNING,ACTIVE,59.906,0.8324,1.3189,56.856,106.885,6.1613
2026-08-26 04:03:36+00:00,S01,VH00005,True,RUNNING,ACTIVE,58.346,0.8931,1.2558,49.454,108.916,6.1552
2026-08-26 04:03:36+00:00,S02,,False,RUNNING,ACTIVE,57.941,0.8388,1.2443,49.987,106.877,6.0778
2026-08-26 04:03:36+00:00,S03,,False,RUNNING,ACTIVE,56.769,0.7455,1.2636,50.692,105.772,6.1615
2026-08-26 04:03:36+00:00,S04,VH00005,True,RUNNING,ACTIVE,57.725,0.7825,1.2319,51.701,106.654,6.1922
2026-08-26 04:03:36+00:00,S05,VH00005,True,RUNNING,ACTIVE,54.62,0.7733,1.2434,52.058,107.345,6.172
2026-08-26 04:03:36+00:00,S06,VH00005,True,RUNNING,ACTIVE,60.808,0.8267,1.2492,52.628,106.545,6.0786
2026-08-26 04:03:36+00:00,S07,,False,RUNNING,ACTIVE,60.0,0.8952,1.2973,53.446,105.656,6.1573
2026-08-26 04:03:36+00:00,S08,VH00005,True,RUNNING,ACTIVE,58.274,0.8481,1.2886,54.553,107.621,6.1845
2026-08-26 04:03:36+00:00,S09,VH00005,True,RUNNING,ACTIVE,55.426,0.787,1.2733,54.653,106.033,6.167
2026-08-26 04:03:36+00:00,S10,,False,RUNNING,ACTIVE,55.967,0.7694,1.2854,56.001,106.627,6.134
2026-08-26 04:03:36+00:00,S11,VH00005,True,RUNNING,ACTIVE,56.052,0.7884,1.3233,56.201,106.287,6.1401
