timestamp_utc,station_id,station_sequence,upstream_station,downstream_station,vehicle_id,standard_cycle_time,takt_time,takt_deviation,cycle_time_to_takt_ratio,queue,throughput_vehicles_per_hour,station_capacity,material_status,cycle_time,utilization,station_status,machine_state,vehicle_present,wip
2026-08-26 04:00:00+00:00,S01,1,,S02,VH00001,58.1,60.0,0.014,1.0002,2,30.43,1,OK,60.014,0.872,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S02,2,S01,S03,VH00001,56.76,60.0,-3.237,0.946,2,30.43,1,OK,56.763,0.8802,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S03,3,S02,S04,VH00001,58.43,60.0,-0.876,0.9854,2,30.43,1,OK,59.124,0.8311,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S04,4,S03,S05,VH00001,57.79,60.0,-3.618,0.9397,2,30.43,1,OK,56.382,0.7671,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S05,5,S04,S06,VH00001,55.38,60.0,-4.328,0.9279,2,30.43,1,OK,55.672,0.7615,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S06,6,S05,S07,VH00001,58.9,60.0,0.358,1.006,2,30.43,1,OK,60.358,0.817,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S07,7,S06,S08,VH00001,58.04,60.0,-0.963,0.984,2,30.43,1,OK,59.037,0.8602,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S08,8,S07,S09,VH00001,58.14,60.0,-1.539,0.9744,2,30.43,1,OK,58.461,0.8662,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S09,9,S08,S10,VH00001,55.51,60.0,-3.897,0.935,2,30.43,1,OK,56.103,0.8123,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S10,10,S09,S11,VH00001,56.8,60.0,-5.572,0.9071,2,30.43,1,OK,54.428,0.8137,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S11,11,S10,S12,VH00001,56.48,60.0,-3.565,0.9406,2,30.43,1,OK,56.435,0.7556,RUNNING,ACTIVE,True,2
2026-08-26 04:00:00+00:00,S12,12,S11,,,58.71,60.0,-0.94,0.9843,2,30.43,1,OK,59.06,0.8087,RUNNING,ACTIVE,False,2
2026-08-26 04:00:54+00:00,S01,1,,S02,VH00002,58.1,60.0,-1.457,0.9757,2,30.43,1,OK,58.543,0.8856,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S02,2,S01,S03,VH00002,56.76,60.0,-1.388,0.9769,2,30.43,1,OK,58.612,0.8509,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S03,3,S02,S04,VH00002,58.43,60.0,-1.451,0.9758,2,30.43,1,OK,58.549,0.7994,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S04,4,S03,S05,VH00002,57.79,60.0,-4.046,0.9326,3,30.43,1,OK,55.954,0.7531,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S05,5,S04,S06,VH00002,55.38,60.0,-5.941,0.901,2,30.43,1,OK,54.059,0.7619,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S06,6,S05,S07,VH00002,58.9,60.0,-0.071,0.9988,2,30.43,1,OK,59.929,0.8385,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S07,7,S06,S08,VH00002,58.04,60.0,-0.552,0.9908,2,30.43,1,OK,59.448,0.8885,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S08,8,S07,S09,VH00002,58.14,60.0,-1.015,0.9831,2,30.43,1,OK,58.985,0.9279,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S09,9,S08,S10,VH00002,55.51,60.0,-3.323,0.9446,2,30.43,1,OK,56.677,0.8612,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S10,10,S09,S11,VH00002,56.8,60.0,-4.39,0.9268,2,30.43,1,OK,55.61,0.7908,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S11,11,S10,S12,VH00002,56.48,60.0,-4.477,0.9254,2,30.43,1,OK,55.523,0.7873,RUNNING,ACTIVE,True,2
2026-08-26 04:00:54+00:00,S12,12,S11,,VH00002,58.71,60.0,-1.227,0.9796,2,30.43,1,OK,58.773,0.8061,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S01,1,,S02,VH00003,58.1,60.0,-0.773,0.9871,3,30.43,1,OK,59.227,0.8856,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S02,2,S01,S03,VH00003,56.76,60.0,-3.486,0.9419,2,30.43,1,OK,56.514,0.9038,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S03,3,S02,S04,VH00003,58.43,60.0,-1.737,0.971,2,30.43,1,OK,58.263,0.8176,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S04,4,S03,S05,VH00003,57.79,60.0,-3.821,0.9363,2,30.43,1,OK,56.179,0.7823,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S05,5,S04,S06,,55.38,60.0,-6.309,0.8948,3,30.43,1,OK,53.691,0.7414,RUNNING,ACTIVE,False,2
2026-08-26 04:01:48+00:00,S06,6,S05,S07,VH00003,58.9,60.0,-0.55,0.9908,3,30.43,1,OK,59.45,0.809,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S07,7,S06,S08,VH00003,58.04,60.0,-1.096,0.9817,2,30.43,1,OK,58.904,0.8743,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S08,8,S07,S09,VH00003,58.14,60.0,-0.244,0.9959,3,30.43,1,OK,59.756,0.8664,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S09,9,S08,S10,VH00003,55.51,60.0,-4.467,0.9256,2,30.43,1,OK,55.533,0.8327,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S10,10,S09,S11,VH00003,56.8,60.0,-4.159,0.9307,2,30.43,1,OK,55.841,0.7451,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S11,11,S10,S12,VH00003,56.48,60.0,-6.52,0.8913,2,30.43,1,OK,53.48,0.7864,RUNNING,ACTIVE,True,2
2026-08-26 04:01:48+00:00,S12,12,S11,,VH00003,58.71,60.0,-2.57,0.9572,2,30.43,1,OK,57.43,0.8312,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S01,1,,S02,VH00004,58.1,60.0,-1.575,0.9738,3,30.43,1,OK,58.425,0.88,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S02,2,S01,S03,VH00004,56.76,60.0,-2.193,0.9634,2,30.43,1,OK,57.807,0.8301,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S03,3,S02,S04,VH00004,58.43,60.0,-2.518,0.958,3,30.43,1,OK,57.482,0.7819,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S04,4,S03,S05,VH00004,57.79,60.0,-2.146,0.9642,2,30.43,1,OK,57.854,0.7364,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S05,5,S04,S06,VH00004,55.38,60.0,-4.932,0.9178,3,30.43,1,OK,55.068,0.7645,RUNNING,ACTIVE,True,2
2026-08-26 04:02:42+00:00,S06,6,S05,S07,VH00004,58.9,60.0,0.868,1.0145,3,30.43,1,OK,60.868,0.8065,RUNNING,ACTIVE,True,2
