timestamp_utc,vehicle_id,production_order,station_id,event_type,cycle_time,wip,production_status
2026-08-26 04:00:00+00:00,VH00001,PO00001,S01,vehicle_entered,,1,IN_PROCESS
2026-08-26 04:00:00+00:00,VH00001,PO00001,S01,station_started,,1,IN_PROCESS
2026-08-26 04:00:58.344230+00:00,VH00001,PO00001,S01,station_completed,58.344,1,IN_PROCESS
2026-08-26 04:00:58.344230+00:00,VH00001,PO00001,S02,station_started,,1,IN_PROCESS
2026-08-26 04:00:58.610341+00:00,VH00002,PO00001,S01,station_started,,1,IN_PROCESS
2026-08-26 04:00:58.610341+00:00,VH00002,PO00001,S01,vehicle_entered,,2,IN_PROCESS
2026-08-26 04:01:55.782408+00:00,VH00001,PO00001,S02,station_completed,57.438,2,IN_PROCESS
2026-08-26 04:01:55.782408+00:00,VH00001,PO00001,S03,station_started,,2,IN_PROCESS
2026-08-26 04:01:56.524610+00:00,VH00002,PO00001,S02,station_started,,2,IN_PROCESS
2026-08-26 04:01:56.524610+00:00,VH00002,PO00001,S01,station_completed,57.914,2,IN_PROCESS
2026-08-26 04:01:59.271288+00:00,VH00003,PO00001,S01,station_started,,2,IN_PROCESS
2026-08-26 04:01:59.271288+00:00,VH00003,PO00001,S01,vehicle_entered,,3,IN_PROCESS
2026-08-26 04:02:52.960709+00:00,VH00002,PO00001,S02,station_completed,56.436,3,IN_PROCESS
2026-08-26 04:02:53.626879+00:00,VH00002,PO00001,S03,station_started,,3,IN_PROCESS
2026-08-26 04:02:53.626879+00:00,VH00001,PO00001,S03,station_completed,57.844,3,IN_PROCESS
2026-08-26 04:02:53.626879+00:00,VH00001,PO00001,S04,station_started,,3,IN_PROCESS
2026-08-26 04:02:58.222997+00:00,VH00003,PO00001,S01,station_completed,58.952,3,IN_PROCESS
2026-08-26 04:02:58.222997+00:00,VH00003,PO00001,S02,station_started,,3,IN_PROCESS
2026-08-26 04:03:00.115966+00:00,VH00004,PO00001,S01,station_started,,3,IN_PROCESS
2026-08-26 04:03:00.115966+00:00,VH00004,PO00001,S01,vehicle_entered,,4,IN_PROCESS
2026-08-26 04:03:50.508206+00:00,VH00001,PO00001,S04,station_completed,56.881,4,IN_PROCESS
2026-08-26 04:03:50.508206+00:00,VH00001,PO00001,S05,station_started,,4,IN_PROCESS
2026-08-26 04:03:51.673573+00:00,VH00002,PO00001,S03,station_completed,58.047,4,IN_PROCESS
2026-08-26 04:03:51.673573+00:00,VH00002,PO00001,S04,station_started,,4,IN_PROCESS
2026-08-26 04:03:54.826382+00:00,VH00003,PO00001,S03,station_started,,4,IN_PROCESS
2026-08-26 04:03:54.826382+00:00,VH00003,PO00001,S02,station_completed,56.603,4,IN_PROCESS
2026-08-26 04:03:59.253136+00:00,VH00004,PO00001,S01,station_completed,59.137,4,IN_PROCESS
2026-08-26 04:03:59.253136+00:00,VH00004,PO00001,S02,station_started,,4,IN_PROCESS
2026-08-26 04:04:01.717420+00:00,VH00005,PO00001,S01,vehicle_entered,,5,IN_PROCESS
2026-08-26 04:04:01.717420+00:00,VH00005,PO00001,S01,station_started,,5,IN_PROCESS
